scheme,family,mask,sampling,segmentation,flag_scope,msig,segmentation_type,segmentation_backend,segmentation_max_words,segmentation_window,generation_num_candidates,stage,z_source,attack,attack_family,attack_setting,K,surrogate,anchor,attacker_model,attacker_seg,candidate_agg,bag_agg,dipper_lex,dipper_order,dataset,n_samples,n_sets,datasets,thr10,thr5,thr1,mean_z,mean_z_wm,mean_z_drop,TPR_at10,TPR_at5,TPR_at1,evade_rate_at5,ASR_at5_q50,ASR_at5_q55,ASR_at5_q60,ASR_at5_q65,ASR_at5_q70,ASR_at5_q75,ASR_at5_q80,ASR_at5_q85,ASR_at5_q90,ASR_at5_q95,ASR_at5_q100,ASR_at5,ASR_at1_q50,ASR_at1_q55,ASR_at1_q60,ASR_at1_q65,ASR_at1_q70,ASR_at1_q75,ASR_at1_q80,ASR_at1_q85,ASR_at1_q90,ASR_at1_q95,ASR_at1_q100,ASR_at1,evade_rate_at1,quality_pass_rate,4g_repeat_pct,4g_repeat_pct_ci,4g_repeat_pct_median,anchor_coverage,anchor_coverage_ci,anchor_coverage_median,anchor_merge,anchor_merge_ci,anchor_merge_median,anchor_n_anchors,anchor_n_anchors_ci,anchor_n_anchors_median,anchor_reorder,anchor_reorder_ci,anchor_reorder_median,anchor_reseg,anchor_reseg_ci,anchor_reseg_median,anchor_reword,anchor_reword_ci,anchor_reword_median,anchor_reword_novel,anchor_reword_novel_ci,anchor_reword_novel_median,anchor_split,anchor_split_ci,anchor_split_median,bert_F1,bert_F1_ci,bert_F1_median,bert_P,bert_P_ci,bert_P_median,bert_R,bert_R_ci,bert_R_median,distinct_2,distinct_2_ci,distinct_2_median,emb_sim,emb_sim_ci,emb_sim_median,gen_ppl_ci,gen_ppl_median,llm_judge,llm_judge_ci,llm_judge_median,llm_judge_content_recall,llm_judge_content_recall_ci,llm_judge_content_recall_median,llm_judge_contradiction,llm_judge_contradiction_ci,llm_judge_contradiction_median,llm_judge_detail_precision,llm_judge_detail_precision_ci,llm_judge_detail_precision_median,llm_judge_information_injection,llm_judge_information_injection_ci,llm_judge_information_injection_median,llm_quality,llm_quality_ci,llm_quality_median,llm_quality_coherence,llm_quality_coherence_ci,llm_quality_coherence_median,llm_quality_fluency,llm_quality_fluency_ci,llm_quality_fluency_median,llm_quality_informativeness,llm_quality_informativeness_ci,llm_quality_informativeness_median,llm_quality_relevance,llm_quality_relevance_ci,llm_quality_relevance_median,rep_2,rep_2_ci,rep_2_median,rep_3,rep_3_ci,rep_3_median,rep_4,rep_4_ci,rep_4_median,rouge1,rouge1_ci,rouge1_median,rouge2,rouge2_ci,rouge2_median,rougeL,rougeL_ci,rougeL_median,sent_dup_pct,sent_dup_pct_ci,sent_dup_pct_median,FPR_at10,FPR_at5,FPR_at1,null_sd,null_q90,null_q95,null_q99,bi_entro,tri_entro,sem_ent,mauve,bleu,gen_ppl,gen_ppl_scored_tokens,gen_ppl_total_nll,provider_draws_per_unit,provider_draws_per_unit_ci_lo_95,provider_draws_per_unit_ci_hi_95,provider_units_total,provider_sentences_total,provider_units_per_sentence,provider_draws_per_sentence,provider_draws_per_sentence_ci_lo_95,provider_draws_per_sentence_ci_hi_95
No watermark,none,none,rejection,sentence-nltk,,,sentence,nltk,,,1.0,watermark,unavailable,none,none,none,,,,,,,,,,c4-val-def-256,256,1,c4-val-def-256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.636161807066034,0.9696073203786254,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9584525455472712,0.0105128477114962,0.9772727272727272,,,,1.4501768038017255,7.544204235076904,,,,,,,,,,,,,,,,0.8212890625,0.0309571643958373,0.95,0.8239583333333333,0.0338941152905137,1.0,0.9122395833333334,0.0230336601698085,1.0,0.7437500000000001,0.0384518464325145,0.8666666666666667,0.8052083333333333,0.0390875557132324,1.0,0.0628906923303818,0.0116182904304043,0.0398863636363636,0.0315222577858975,0.0111135001996259,0.0067682088868529,0.02270027069677,0.010758487545767,0.0,,,,,,,,,,1.5349205600906712,0.9380016806644212,0.0,,,,,,,,9.963086854862802,10.55508728209674,2.650311589421497,0.347130397168237,,6.971534729003906,44087.0,85609.68657112122,1.0,1.0,1.0,1816.0,1758.0,1.0,1.0,1.0,1.0
No watermark,none,none,rejection,sentence-nltk,,,sentence,nltk,,,1.0,watermark,unavailable,none,none,none,,,,,,,,,,c4-val-def-256b,256,1,c4-val-def-256b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3653861653510124,0.8390483559241434,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9572539615414302,0.0091556602718306,0.9739410915881505,,,,0.952806345292258,7.370564222335815,,,,,,,,,,,,,,,,0.8533854166666667,0.0291252035940572,0.9666666666666668,0.8528645833333334,0.0317672612668166,1.0,0.9278645833333334,0.0222161987006663,1.0,0.7932291666666667,0.0358492097343271,0.9333333333333332,0.8395833333333333,0.0362752992915054,1.0,0.0611734320348862,0.0092972298649003,0.0456597222222222,0.0268523276016341,0.0082842119565925,0.0098039215686274,0.0169499421381404,0.0079006580615631,0.0,,,,,,,,,,1.0712524237914862,0.7419403129147693,0.0,,,,,,,,9.94337573968964,10.549692217832408,2.710993772613864,0.3495802007820754,,6.994036674499512,44803.0,87144.43041992188,1.0,1.0,1.0,1783.0,1782.0,1.0,1.0,1.0,1.0
No watermark,none,none,rejection,sentence-nltk,,,sentence,nltk,,,1.0,watermark,unavailable,none,none,none,,,,,,,,,,c4-val-def-512,512,1,c4-val-def-512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1138342315663416,0.5775749338414308,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9619830204090298,0.0063534322655938,0.9753086419753086,,,,0.5298778676697664,7.376335620880127,,,,,,,,,,,,,,,,0.8599934895833334,0.0199856739688769,0.9666666666666668,0.8656250000000001,0.0221426888753372,1.0,0.9239583333333332,0.0158050771717672,1.0,0.7873697916666667,0.0249820642777584,0.9333333333333332,0.8630208333333333,0.0238788126205061,1.0,0.059214377774009,0.0066029118953333,0.0445436507936507,0.025408245090487,0.0059767615741154,0.0099010979435343,0.0153696878504247,0.0056972985033703,0.0,,,,,,,,,,1.3072261044457736,0.7272832850261568,0.0,,,,,,,,10.455971010356622,11.209668601440685,2.6998936706592818,0.2418956441512505,,6.874587535858154,90508.0,174484.18057632446,1.0,1.0,1.0,4026.0,3946.0,1.0,1.0,1.0,1.0
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K1,adaptive,K1-positional-bge,1.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,c4-val-def-256,256,1,c4-val-def-256,1.2815515594457412,1.6448536269514722,2.3263478740408408,2.3479116304952186,5.552564273937605,3.2046526434423868,0.75,0.67578125,0.49609375,0.32421875,0.32421875,0.32421875,0.32421875,0.32421875,0.3203125,0.31640625,0.3046875,0.296875,0.265625,0.1875,0.08203125,0.3046875,0.50390625,0.50390625,0.50390625,0.50390625,0.5,0.49609375,0.4765625,0.46875,0.42578125,0.30859375,0.16015625,0.4765625,0.50390625,0.94140625,0.3415064558247147,0.1675299538960887,0.0,0.542249633374448,0.0156695809064635,0.5373467112597548,0.140940410352175,0.0151483218671327,0.1111111111111111,58.6328125,2.612206887331089,56.5,0.0473863680584536,0.0066046748684387,0.0337078651685393,0.1192418663870673,0.0118139744492447,0.1,0.2928433937721841,0.0102471513403037,0.2930001015950421,0.5365513497018681,0.0144285262485737,0.5395698203235666,0.0836277095797219,0.0132663796069544,0.0769230769230769,0.935548364650458,0.0026797563218724,0.9379269182682036,0.941284801112488,0.0023893968596632,0.941971242427826,0.929955343483016,0.0031004058193443,0.9317705035209656,0.9648627783277804,0.0041465810705341,0.9713773681515616,0.9679543417878448,0.0023067796413072,0.9718090295791626,0.4659506910018313,9.438887596130373,0.9453776041666668,0.0083542520912168,0.9666666666666668,0.959375,0.0086126686000271,1.0,0.0138020833333333,0.0073396790201233,0.0,0.9296875,0.0131932806972879,1.0,0.09375,0.015413235270925,0.0,,,,,,,,,,,,,,,,0.0693507674607135,0.0055028124190254,0.0630132394838277,0.0230637953712301,0.0036416142902193,0.0151998878054414,0.0102771606105584,0.0026886347953442,0.0034483168646476,0.707156606227816,0.0102471513403037,0.7069998984049579,0.44233228297033,0.0150587978027334,0.4323179111314704,0.5823067501380992,0.0144573509095737,0.5836373130022967,0.1717032967032967,0.2095787007041266,0.0,,,,,,,,9.893133452160583,10.49225186055732,2.3040424032287614,0.9378819950449792,0.2825943817250305,9.183041421990438,63394.0,140567.22217181284,,,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K1,adaptive,K1-positional-bge,1.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,c4-val-def-256b,256,1,c4-val-def-256b,1.2815515594457412,1.6448536269514722,2.3263478740408408,2.398526864581072,5.456586252315901,3.058059387734829,0.7734375,0.6875,0.4921875,0.3125,0.3125,0.3125,0.3125,0.30859375,0.30859375,0.3046875,0.28515625,0.265625,0.23046875,0.18359375,0.10546875,0.28515625,0.5078125,0.5078125,0.5078125,0.50390625,0.49609375,0.48046875,0.4609375,0.4375,0.39453125,0.30078125,0.16796875,0.4609375,0.5078125,0.94140625,0.4748631824769618,0.2436845132957299,0.0,0.5700553312154564,0.0150167304320165,0.5669154228855722,0.1306526697703168,0.0168901546130253,0.0909090909090909,61.578125,2.8580294746792214,61.0,0.0383453609199829,0.0045109540397703,0.0291390728476821,0.1108708045628656,0.0136204012301171,0.0909090909090909,0.2752376087770336,0.0099288398884079,0.2692402478524151,0.5221022920514446,0.0139456863380851,0.5231872070581749,0.0797609688786159,0.013416193656305,0.0769230769230769,0.940352471312508,0.0025860218480453,0.9413471817970276,0.9444931345060468,0.0022621423596486,0.945847362279892,0.9363473108969628,0.0030784239759012,0.9389102458953856,0.9603532593569905,0.0050102048733494,0.9687608912846488,0.9712897220160812,0.0022244581038407,0.9746832549571992,0.7229929143447097,9.077390193939207,0.9395833333333332,0.0093891187195328,0.9666666666666668,0.959375,0.0089730130152368,1.0,0.0171875,0.0075691499801503,0.0,0.92421875,0.0154514306166109,1.0,0.1080729166666666,0.0163645682547435,0.0666666666666666,,,,,,,,,,,,,,,,0.0750409967208945,0.0064323948389383,0.0686305294971935,0.0261551853098145,0.004807066311272,0.0169593895003259,0.0127389077832438,0.0038502470958604,0.0035276111788567,0.7247623912229664,0.0099288398884079,0.7307597521475848,0.4661787480419557,0.0141484171084374,0.4653260931048136,0.6078378344497782,0.0134366675195023,0.6139381808383695,0.1129079254079254,0.1450903455598524,0.0,,,,,,,,10.233557316447811,10.93534762139633,2.530962541143542,0.9678318244660112,0.3134280069014835,8.857963562011719,66212.0,144429.34197235107,,,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K1,adaptive,K1-positional-bge,1.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,c4-val-def-512,512,1,c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,2.5742894308423274,5.451310509233736,2.877021078391408,0.798828125,0.71484375,0.54296875,0.28515625,0.28515625,0.28515625,0.283203125,0.283203125,0.279296875,0.279296875,0.265625,0.2578125,0.228515625,0.16015625,0.08984375,0.265625,0.45703125,0.45703125,0.455078125,0.453125,0.4453125,0.44140625,0.42578125,0.40625,0.365234375,0.265625,0.142578125,0.42578125,0.45703125,0.947265625,0.4424396496614394,0.1776164890301718,0.0,0.5703157258636713,0.0111238424779865,0.5756106194690265,0.1144896634133424,0.009162744042318,0.0909090909090909,63.197265625,2.094922821256208,61.0,0.0373178565723174,0.0033247718178124,0.0258560447239692,0.1023968731411525,0.0071754335603602,0.0909090909090909,0.2722270696520464,0.0068866674554462,0.2636316872427984,0.5135313536165071,0.0102330124664366,0.514018691588785,0.0780567334215253,0.0088359606091246,0.0,0.940689674927853,0.0017710062920932,0.943440318107605,0.945503372233361,0.0015797945804945,0.9473817646503448,0.9360158761264756,0.002089824665791,0.939492642879486,0.9619000082232494,0.0030930736868935,0.9668560308841532,0.9723810841096564,0.0016135221316759,0.9771173894405364,0.3156737134418713,8.913534164428711,0.9495768229166668,0.0065265943018281,0.9833333333333334,0.9592447916666668,0.0066951379695101,1.0,0.01328125,0.0062600168964009,0.0,0.9368489583333336,0.0095107354065429,1.0,0.0845052083333333,0.0111447524967034,0.0,,,,,,,,,,,,,,,,0.0721639722508014,0.0041737567341069,0.0625,0.0255061933144132,0.00302494723172,0.015461945802503,0.0120833540412191,0.0023927055255725,0.0036835535777277,0.7277729303479537,0.0068866674554462,0.7363683127572016,0.4700893320154171,0.0103490542611042,0.4689458847965579,0.6120846910603995,0.0098185855068282,0.6148671955846843,0.4334178505385331,0.2943257835340956,0.0,,,,,,,,10.678537216157483,11.55987636266424,2.552752964685184,0.9223540963254298,0.3120380788447561,8.574165344238281,132170.0,284000.77502441406,,,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K16,adaptive,K16-positional-bge,16.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,c4-val-def-256,256,1,c4-val-def-256,1.2815515594457412,1.6448536269514722,2.3263478740408408,1.0888332361564608,5.589652854367159,4.5008196182106985,0.40625,0.265625,0.0859375,0.734375,0.73046875,0.73046875,0.73046875,0.7265625,0.703125,0.67578125,0.65625,0.5859375,0.4921875,0.3203125,0.125,0.65625,0.91015625,0.91015625,0.91015625,0.90625,0.87890625,0.83984375,0.8046875,0.7265625,0.6171875,0.38671875,0.15625,0.8046875,0.9140625,0.8828125,0.6662246288296115,0.5492306573438319,0.0,0.467586534272792,0.0150627972047996,0.4674258474576271,0.1692911228205345,0.0173714079266466,0.1666666666666666,50.625,2.286729640615744,50.0,0.0758227826279185,0.009870381481088,0.0516934046345811,0.1473646074365938,0.0119072444406698,0.1428571428571429,0.3558871549214369,0.0110309772360115,0.3476870438585599,0.60586968628466,0.0133155936359703,0.6016533034992853,0.1006806643172672,0.0142293162645433,0.0909090909090909,0.9185543260537088,0.0029233147143935,0.9200701415538788,0.9244854461867362,0.0030761998593582,0.9272970855236052,0.9129047659225762,0.0031965076992887,0.9145785272121428,0.9648375741216586,0.0066526022475063,0.9769176136363636,0.952158783795312,0.0033327668431323,0.9570796489715576,0.5878542304922122,10.881898403167725,0.9075520833333334,0.0112059625256813,0.9333333333333332,0.9184895833333334,0.012547823872421,0.9333333333333332,0.0205729166666666,0.0085462487039983,0.0,0.8872395833333333,0.0181862325581118,0.9333333333333332,0.1549479166666666,0.0194725884573824,0.1333333333333333,,,,,,,,,,,,,,,,0.0679269818715226,0.0074908346548374,0.0552503052503052,0.0255036662729723,0.0061289629976733,0.0152093453620171,0.0133489165896681,0.0055209646763389,0.0038462107427624,0.6441128450785631,0.0110309772360115,0.65231295614144,0.3625852352177921,0.0133466189024859,0.3581395348837209,0.4946359416953554,0.0142845003230879,0.498334350932442,0.4807127423596971,0.476195189580353,0.0,,,,,,,,9.855969640867777,10.410464067399218,2.375445012579785,0.6775188548048596,0.2041641570996871,10.441349880172504,60179.0,141166.32590105318,,,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K16,adaptive,K16-positional-bge,16.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,c4-val-def-256b,256,1,c4-val-def-256b,1.2815515594457412,1.6448536269514722,2.3263478740408408,1.0638798673048768,5.453339799772948,4.389459932468071,0.390625,0.265625,0.09765625,0.734375,0.734375,0.734375,0.734375,0.734375,0.70703125,0.6796875,0.59375,0.5625,0.46484375,0.28125,0.12109375,0.59375,0.90234375,0.90234375,0.90234375,0.90234375,0.875,0.84375,0.734375,0.68359375,0.5546875,0.3359375,0.12890625,0.734375,0.90234375,0.796875,0.3890397045655239,0.1599072124026876,0.0,0.4777791756515134,0.0157287108906205,0.4735248447204969,0.161929051340816,0.0178392946603538,0.1428571428571428,50.87109375,2.2992015374656742,49.0,0.0749452031569913,0.0097064029406524,0.0606200832947709,0.142774550805287,0.0135223043983624,0.1249999999999998,0.3465869787474005,0.0112903249557422,0.3384993148698252,0.6005277936287848,0.0126924538728989,0.606170994869625,0.0981770299417358,0.0148231265554941,0.0909090909090909,0.9207831288222224,0.0027444036147999,0.9220136106014252,0.9273194628767668,0.0025303123978299,0.9302555918693542,0.9145572737324984,0.003388568285846,0.9164010286331176,0.9653991075817452,0.0042131718967343,0.972092419522326,0.9537479002028704,0.0031961320112773,0.9604544937610626,0.778349960581313,10.424470901489258,0.8939453125,0.0114332259130523,0.9166666666666666,0.9096354166666668,0.0130465493970728,0.9333333333333332,0.01953125,0.0085525219778432,0.0,0.8588541666666667,0.0188553040076138,0.9333333333333332,0.1731770833333333,0.0200568377161648,0.1333333333333333,,,,,,,,,,,,,,,,0.0695431077827894,0.006090913484287,0.0629946747415683,0.0246153316339894,0.0042277514411514,0.0145229309435951,0.0120922281094766,0.0031396621349956,0.0040242914979757,0.6534130212525995,0.0112903249557422,0.6615006851301748,0.371160853091152,0.0131293611253906,0.3684141439002379,0.4947326332938596,0.0144608026889074,0.4976590176775318,0.157992493872549,0.1336632313506981,0.0,,,,,,,,10.162773712078064,10.839428870303395,2.515546431917531,0.7074166950717025,0.2124235177861808,10.06588363647461,60819.0,140440.30666351318,,,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K16,adaptive,K16-positional-bge,16.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,c4-val-def-512,512,1,c4-val-def-512,1.2815515594457412,1.6448536269514722,2.3263478740408408,1.2551481443678654,5.466473170672543,4.211325026304678,0.43359375,0.31640625,0.12109375,0.68359375,0.681640625,0.681640625,0.673828125,0.66796875,0.658203125,0.640625,0.595703125,0.53125,0.443359375,0.291015625,0.119140625,0.595703125,0.875,0.875,0.865234375,0.859375,0.841796875,0.822265625,0.765625,0.693359375,0.5703125,0.37890625,0.15625,0.765625,0.87890625,0.87109375,0.9427437009457442,0.4212910144772406,0.0,0.4732111798700839,0.0108012926789353,0.4702941176470588,0.1550282502945225,0.0119988428280742,0.125,51.80078125,1.6767948355097544,50.0,0.0724662428827909,0.0058389276063445,0.0571428571428571,0.147416581945413,0.0087183287155336,0.1353711790393014,0.3497473442394121,0.007966147405083,0.3391343825665859,0.6078704730938487,0.0085836249654204,0.6045233835931509,0.1184723318058635,0.0107594519128033,0.1,0.9198703416623176,0.002186638497549,0.9222927689552308,0.925232283421792,0.002356197594153,0.9287881851196288,0.9148720176890492,0.0024035011508113,0.9178251326084136,0.9600901831804166,0.0053049823994181,0.9724892151668812,0.9546026855241508,0.0024117950840329,0.9606422185897828,0.4076878918502906,9.882161617279053,0.9044270833333332,0.0085358272589241,0.9333333333333332,0.9158854166666668,0.0099663812260876,0.9333333333333332,0.0239583333333333,0.0077577008392575,0.0,0.88046875,0.0132411711670082,0.9333333333333332,0.1546875,0.014379226444825,0.1333333333333333,,,,,,,,,,,,,,,,0.0746928724363255,0.0062820109859563,0.0599145299145299,0.0303340349479316,0.0055547003078751,0.0146789485024778,0.0179720555081986,0.0050916429018188,0.0027211337687147,0.6502526557605878,0.007966147405083,0.6608656174334141,0.3643248949375943,0.0087358544527851,0.3633566433566433,0.4945994539316954,0.0096127939134523,0.4984409248067206,1.0251667489893916,0.6346977198714565,0.0,,,,,,,,10.60098859781579,11.453438077836966,2.54567571098947,0.6312133232833027,0.2071722969870257,9.47589874267578,125480.0,282173.3442077637,,,,,,,,,
PMark,pmark,online,rejection,sentence-nltk,,,sentence,nltk,,,64.0,attack,direct,adp-K2,adaptive,K2-positional-bge,2.0,bge,positional,Qwen2.5-3B-Instruct,sentence-nltk,,,,,c4-val-def-256,256,1,c4-val-def-256,1.2815515594457412,1.6448536269514722,2.3263478740408408,1.8542697902521468,5.569986467482522,3.715716677230376,0.68359375,0.57421875,0.30859375,0.42578125,0.42578125,0.42578125,0.42578125,0.42578125,0.42578125,0.421875,0.41015625,0.40234375,0.3359375,0.20703125,0.1328125,0.41015625,0.69140625,0.69140625,0.69140625,0.69140625,0.69140625,0.6796875,0.6640625,0.6484375,0.546875,0.34375,0.19140625,0.6640625,0.69140625,0.94921875,0.6039121475686717,0.5090904895340006,0.0,0.5202048947219653,0.0152359522822362,0.5188746438746439,0.1470791300203065,0.0155026575181321,0.125,56.4609375,2.5259307862066307,55.0,0.049255537504908,0.0066114103711565,0.0360824742268041,0.1316032214754652,0.0115290341597445,0.1181102362204725,0.3082858677083271,0.010023590388192,0.3096755444979198,0.5642148724349512,0.0133659859966912,0.5686950971154139,0.0990728535310578,0.0132825937442365,0.0909090909090909,0.9321840044576676,0.0024905561802329,0.9324415922164916,0.9379864800721408,0.0023148222029729,0.9387412369251252,0.9265691679902376,0.0029189622798752,0.9273981153964996,0.9628387815298088,0.0061887670830748,0.9713257965056524,0.9653071446809918,0.0024158958003032,0.9682059288024902,0.4863281432180847,9.497333526611328,0.9399739583333332,0.0080032211285893,0.9666666666666668,0.95703125,0.0088800588434528,1.0,0.0135416666666666,0.0078171733838775,0.0,0.9234375,0.0129011073225877,0.9333333333333332,0.10703125,0.0166279157174603,0.0666666666666666,,,,,,,,,,,,,,,,0.0699159110512698,0.007412720383083,0.0619200981519822,0.0251760163393867,0.006450380210089,0.015625,0.0128835749648551,0.0060442308640355,0.0039841269841269,0.6917141322916728,0.010023590388192,0.6903244555020802,0.4161606140655476,0.013737509199864,0.4065835970301784,0.5599413369302819,0.0135506214034449,0.5566239316239316,0.5199827749782256,0.720148526200217,0.0,,,,,,,,9.886965252182666,10.475796639782656,2.3348702931793057,0.9658329718154728,0.251092635900824,9.489379320658852,63240.0,142300.9536087601,,,,,,,,,
